,benchmark,class,run,preparationTime,generationTime,executionTime,testcaseNumber,uncompilableNumber,brokenTests,failTests,linesTotal,linesCovered,linesCoverageRatio,conditionsTotal,conditionsCovered,conditionsCoverageRatio,mutantsTotal,mutantsCovered,mutantsCoverageRatio,mutantsKilled,mutantsKillRatio,mutantsAlive,timeBudget,totalTestClasses
1324,FASTJSON-17,com.alibaba.fastjson.serializer.ClobSeriliazer,8,315,30513,14530,5,0,0,0,24,5,20.833332,4,2,50.0,6,2,33.333336,2,33.333336,4,30,2
1325,FASTJSON-59,com.alibaba.fastjson.asm.Type,2,290,31031,1875,100,0,0,0,93,0,0.0,62,0,0.0,78,0,0.0,0,0.0,78,30,2
1326,FASTJSON-85,com.alibaba.fastjson.serializer.CharArrayCodec,7,306,30986,15617,5,0,0,0,35,3,8.571429,20,0,0.0,20,1,5.0,1,5.0,19,30,2
1327,GUAVA-197,com.google.common.primitives.Booleans,8,324,29194,3224,68,0,0,0,75,74,98.66667,52,51,98.07692,92,92,100.0,92,100.0,0,30,2
1328,FASTJSON-39,com.alibaba.fastjson.serializer.StringCodec,8,299,30943,17396,23,0,1,0,45,21,46.666668,20,9,45.0,29,14,48.27586,14,48.27586,15,30,2
1329,GUAVA-174,com.google.common.collect.TopKSelector,7,287,30497,7076,63,0,0,0,79,76,96.20254,36,32,88.88889,68,66,97.05882,66,97.05882,2,30,2
1330,SPOON-167,spoon.support.reflect.CtExtendedModifier,6,302,28726,1808,24,0,0,0,26,26,100.0,16,16,100.0,18,18,100.0,18,100.0,0,30,2
1331,GUAVA-21,com.google.common.base.internal.Finalizer,8,327,61009,10,0,0,0,0,65,0,0.0,20,0,0.0,0,0,0.0,0,0.0,0,30,0
1332,SEATA-4,io.seata.core.protocol.MessageFuture,1,306,28583,1404,9,0,0,0,22,20,90.909096,10,8,80.0,13,13,100.0,5,38.46154,8,30,2
1333,SEATA-32,io.seata.core.protocol.transaction.GlobalBeginResponse,10,327,29111,8317,30,0,0,0,36,36,100.0,12,12,100.0,17,17,100.0,17,100.0,0,30,2
1334,GUAVA-174,com.google.common.collect.TopKSelector,2,300,30150,6020,54,0,1,0,79,73,92.40506,36,30,83.33333,68,63,92.64706,63,92.64706,5,30,2
1335,GUAVA-197,com.google.common.primitives.Booleans,9,292,29174,3062,71,0,0,0,75,74,98.66667,52,51,98.07692,92,92,100.0,92,100.0,0,30,2
1336,SEATA-24,io.seata.core.protocol.transaction.BranchReportRequest,9,304,29472,8865,52,0,1,0,88,87,98.86364,22,22,100.0,30,29,96.666664,29,96.666664,1,30,2
1337,SEATA-19,io.seata.core.protocol.RegisterRMRequest,10,288,29336,8732,32,0,0,0,62,62,100.0,26,26,100.0,46,46,100.0,46,100.0,0,30,2
1338,SEATA-9,io.seata.core.rpc.netty.RpcServerHandler,10,339,28797,7692,10,0,0,0,27,20,74.07407,8,1,12.5,6,3,50.0,3,50.0,3,30,2
1339,SEATA-32,io.seata.core.protocol.transaction.GlobalBeginResponse,7,293,28902,8148,27,0,0,0,36,36,100.0,12,12,100.0,17,17,100.0,17,100.0,0,30,2
1340,SEATA-21,io.seata.core.rpc.netty.RmRpcClient,4,286,29248,48436,3,0,0,0,211,4,1.8957347,88,2,2.2727273,75,2,2.6666667,2,2.6666667,73,30,2
